12:02:07.027 ->   Timestamp | Background value | Measured value | Final value 
12:05:12.403 ->  0000185622 |                0 |            692 |      0.6758
12:05:12.918 ->  0000186122 |                0 |            691 |      0.6748
12:05:13.434 ->  0000186622 |                0 |            691 |      0.6748
12:05:13.903 ->  0000187122 |                0 |            692 |      0.6758
12:05:14.410 ->  0000187622 |                0 |            692 |      0.6758
12:05:14.941 ->  0000188123 |                0 |            691 |      0.6748
12:05:15.409 ->  0000188622 |                0 |            691 |      0.6748
12:05:15.925 ->  0000189122 |                0 |            693 |      0.6768
12:05:16.394 ->  0000189622 |                0 |            691 |      0.6748
12:05:16.909 ->  0000190121 |                0 |            691 |      0.6748
12:05:17.425 ->  0000190621 |                0 |            691 |      0.6748
12:05:17.893 ->  0000191121 |                0 |            691 |      0.6748
12:05:18.409 ->  0000191621 |                0 |            692 |      0.6758
12:05:18.924 ->  0000192121 |                0 |            691 |      0.6748
12:05:19.440 ->  0000192621 |                0 |            690 |      0.6738
12:05:19.909 ->  0000193120 |                0 |            692 |      0.6758
12:05:20.423 ->  0000193620 |                0 |            692 |      0.6758
12:05:20.893 ->  0000194120 |                0 |            691 |      0.6748
12:05:21.409 ->  0000194620 |                0 |            691 |      0.6748
12:05:21.924 ->  0000195121 |                0 |            691 |      0.6748
12:05:22.393 ->  0000195621 |                0 |            691 |      0.6748
12:05:22.908 ->  0000196121 |                0 |            692 |      0.6758
12:05:23.424 ->  0000196621 |                0 |            691 |      0.6748
12:05:23.892 ->  0000197122 |                0 |            692 |      0.6758
12:05:24.408 ->  0000197622 |                0 |            691 |      0.6748
12:05:24.909 ->  0000198122 |                0 |            692 |      0.6758
12:05:25.426 ->  0000198622 |                0 |            692 |      0.6758
12:05:25.920 ->  0000199122 |                0 |            691 |      0.6748
12:05:26.388 ->  0000199622 |                0 |            692 |      0.6758
12:05:26.904 ->  0000200122 |                0 |            691 |      0.6748
12:05:27.419 ->  0000200623 |                0 |            692 |      0.6758
12:05:27.888 ->  0000201123 |                0 |            691 |      0.6748
12:05:28.404 ->  0000201623 |                0 |            691 |      0.6748
12:05:28.912 ->  0000202123 |                0 |            691 |      0.6748
12:05:29.428 ->  0000202622 |                0 |            691 |      0.6748
12:05:29.896 ->  0000203122 |                0 |            692 |      0.6758
12:05:30.411 ->  0000203622 |                0 |            691 |      0.6748
12:05:30.880 ->  0000204122 |                0 |            691 |      0.6748
12:05:31.396 ->  0000204622 |                0 |            692 |      0.6758
12:05:31.911 ->  0000205122 |                0 |            691 |      0.6748
12:05:32.380 ->  0000205621 |                0 |            692 |      0.6758
12:05:32.895 ->  0000206121 |                0 |            691 |      0.6748
12:05:33.411 ->  0000206621 |                0 |            691 |      0.6748
12:05:33.880 ->  0000207120 |                0 |            691 |      0.6748
12:05:34.395 ->  0000207621 |                0 |            691 |      0.6748
12:05:34.911 ->  0000208121 |                0 |            692 |      0.6758
12:05:35.367 ->  0000208621 |                0 |            692 |      0.6758
12:05:35.883 ->  0000209121 |                0 |            692 |      0.6758
12:05:36.398 ->  0000209622 |                0 |            692 |      0.6758
12:05:36.914 ->  0000210122 |                0 |            692 |      0.6758
12:05:37.382 ->  0000210622 |                0 |            693 |      0.6768
12:05:37.898 ->  0000211123 |                0 |            692 |      0.6758
12:05:38.413 ->  0000211623 |                0 |            692 |      0.6758
12:05:38.882 ->  0000212123 |                0 |            691 |      0.6748
12:05:39.397 ->  0000212623 |                0 |            691 |      0.6748
12:05:39.913 ->  0000213124 |                0 |            692 |      0.6758
12:05:40.382 ->  0000213624 |                0 |            691 |      0.6748
12:05:40.897 ->  0000214124 |                0 |            692 |      0.6758
12:05:41.366 ->  0000214624 |                0 |            691 |      0.6748
12:05:41.881 ->  0000215124 |                0 |            692 |      0.6758
12:05:42.396 ->  0000215624 |                0 |            692 |      0.6758
12:05:42.865 ->  0000216124 |                0 |            690 |      0.6738
12:05:43.381 ->  0000216625 |                0 |            693 |      0.6768
12:05:43.896 ->  0000217125 |                0 |            692 |      0.6758
12:05:44.412 ->  0000217625 |                0 |            692 |      0.6758
